time,open,high,low,close,tick_volume,spread,real_volume
2024-07-08 09:20:00+00:00,104.585,104.585,104.585,104.585,1.0,22,0.0
2024-07-08 09:22:00+00:00,104.585,104.585,104.585,104.585,2.0,22,0.0
2024-07-08 09:23:00+00:00,104.585,104.585,104.585,104.585,1.0,22,0.0
2024-07-08 09:25:00+00:00,104.57,104.57,104.57,104.57,1.0,22,0.0
2024-07-08 09:26:00+00:00,104.57,104.57,104.57,104.57,3.0,22,0.0
2024-07-08 09:27:00+00:00,104.57,104.57,104.57,104.57,1.0,22,0.0
2024-07-08 09:28:00+00:00,104.57,104.57,104.565,104.565,5.0,22,0.0
2024-07-08 09:29:00+00:00,104.565,104.565,104.565,104.565,2.0,22,0.0
2024-07-08 09:30:00+00:00,104.57,104.57,104.57,104.57,4.0,22,0.0
2024-07-08 09:31:00+00:00,104.57,104.575,104.57,104.575,14.0,22,0.0
2024-07-08 09:32:00+00:00,104.58,104.58,104.575,104.575,5.0,22,0.0
2024-07-08 09:33:00+00:00,104.585,104.585,104.585,104.585,5.0,22,0.0
2024-07-08 09:35:00+00:00,104.575,104.575,104.575,104.575,1.0,22,0.0
2024-07-08 09:36:00+00:00,104.58,104.58,104.58,104.58,1.0,22,0.0
2024-07-08 09:37:00+00:00,104.585,104.585,104.58,104.58,5.0,22,0.0
2024-07-08 09:39:00+00:00,104.565,104.565,104.565,104.565,1.0,22,0.0
2024-07-08 09:40:00+00:00,104.58,104.58,104.58,104.58,2.0,22,0.0
2024-07-08 09:42:00+00:00,104.58,104.58,104.58,104.58,3.0,22,0.0
2024-07-08 09:43:00+00:00,104.585,104.585,104.58,104.58,10.0,22,0.0
2024-07-08 09:47:00+00:00,104.57,104.57,104.57,104.57,2.0,22,0.0
2024-07-08 09:49:00+00:00,104.58,104.58,104.58,104.58,5.0,22,0.0
2024-07-08 09:50:00+00:00,104.58,104.58,104.58,104.58,1.0,22,0.0
2024-07-08 09:51:00+00:00,104.575,104.575,104.575,104.575,1.0,22,0.0
2024-07-08 09:52:00+00:00,104.57,104.575,104.57,104.575,5.0,22,0.0
2024-07-08 09:53:00+00:00,104.57,104.57,104.57,104.57,1.0,22,0.0
2024-07-08 09:54:00+00:00,104.57,104.57,104.57,104.57,5.0,22,0.0
2024-07-08 09:55:00+00:00,104.57,104.57,104.57,104.57,1.0,22,0.0
2024-07-08 09:56:00+00:00,104.575,104.575,104.575,104.575,3.0,22,0.0
2024-07-08 09:57:00+00:00,104.575,104.575,104.575,104.575,2.0,22,0.0
2024-07-08 09:59:00+00:00,104.58,104.58,104.58,104.58,2.0,22,0.0
2024-07-08 10:00:00+00:00,104.58,104.58,104.58,104.58,1.0,22,0.0
2024-07-08 10:02:00+00:00,104.58,104.58,104.58,104.58,2.0,22,0.0
2024-07-08 10:04:00+00:00,104.59,104.59,104.59,104.59,2.0,22,0.0
2024-07-08 10:05:00+00:00,104.59,104.59,104.59,104.59,8.0,22,0.0
2024-07-08 10:06:00+00:00,104.595,104.595,104.595,104.595,9.0,22,0.0
2024-07-08 10:07:00+00:00,104.595,104.595,104.595,104.595,2.0,22,0.0
2024-07-08 10:08:00+00:00,104.595,104.6,104.595,104.6,4.0,22,0.0
2024-07-08 10:09:00+00:00,104.61,104.61,104.605,104.605,3.0,22,0.0
2024-07-08 10:10:00+00:00,104.6,104.6,104.595,104.595,7.0,22,0.0
2024-07-08 10:12:00+00:00,104.59,104.59,104.59,104.59,1.0,22,0.0
2024-07-08 10:13:00+00:00,104.585,104.585,104.585,104.585,2.0,22,0.0
2024-07-08 10:14:00+00:00,104.575,104.575,104.575,104.575,2.0,22,0.0
2024-07-08 10:17:00+00:00,104.57,104.57,104.57,104.57,1.0,22,0.0
2024-07-08 10:18:00+00:00,104.57,104.57,104.57,104.57,1.0,22,0.0
2024-07-08 10:21:00+00:00,104.56,104.56,104.56,104.56,2.0,22,0.0
2024-07-08 10:22:00+00:00,104.565,104.565,104.565,104.565,1.0,22,0.0
2024-07-08 10:23:00+00:00,104.565,104.565,104.565,104.565,2.0,22,0.0
2024-07-08 10:24:00+00:00,104.57,104.57,104.57,104.57,2.0,22,0.0
2024-07-08 10:25:00+00:00,104.57,104.57,104.57,104.57,1.0,22,0.0
2024-07-08 10:27:00+00:00,104.57,104.57,104.57,104.57,1.0,22,0.0
2024-07-08 10:28:00+00:00,104.585,104.585,104.585,104.585,11.0,22,0.0
2024-07-08 10:29:00+00:00,104.58,104.58,104.58,104.58,3.0,22,0.0
2024-07-08 10:30:00+00:00,104.585,104.585,104.585,104.585,23.0,22,0.0
2024-07-08 10:31:00+00:00,104.585,104.585,104.585,104.585,1.0,22,0.0
2024-07-08 10:32:00+00:00,104.58,104.58,104.58,104.58,6.0,22,0.0
2024-07-08 10:34:00+00:00,104.58,104.58,104.58,104.58,2.0,22,0.0
2024-07-08 10:35:00+00:00,104.59,104.595,104.59,104.595,3.0,22,0.0
